fnode	tnode	iftran	hydseq
27609	27958	1	11343
28034	27958	1	11344
27958	28839	1	11345
28839	28896	1	11346
28896	29152	1	11347
29152	28309	1	11348
28309	27995	1	11349
28490	28097	1	11350
27579	28097	1	11351
28097	27298	1	11352
26863	26272	1	11353
27947	27915	1	11354
28257	27915	1	11355
27915	26879	1	11356
26910	26879	1	11357
26879	27006	1	11358
27006	26955	1	11359
26758	25944	1	11360
25650	25679	1	11361
25422	25409	1	11362
25214	25023	1	11363
25216	24925	1	11364
24584	24488	1	11365
24629	24095	1	11366
23820	23444	1	11367
23613	22923	1	11368
23669	23137	1	11369
23118	22898	1	11370
23062	22775	1	11371
22848	22615	1	11372
22753	22615	1	11373
22615	22497	1	11374
22227	22497	1	11375
22497	22775	1	11376
22775	22898	1	11377
22898	23137	1	11378
23137	23072	1	11379
23072	22839	1	11380
22596	22839	1	11381
22839	22807	1	11382
22617	22040	1	11383
21675	21370	1	11384
22016	21538	1	11385
21975	21538	1	11386
21538	21245	1	11387
21899	21410	1	11388
21952	21410	1	11389
21410	21145	1	11390
21273	21145	1	11391
21145	21245	1	11392
21245	21207	1	11393
21100	20850	1	11394
20850	20377	1	11395
20850	20483	1	11396
20773	20389	1	11397
20333	20096	1	11398
20386	19797	1	11399
21682	20093	1	11400
20869	20093	1	11401
20093	19907	1	11402
19907	19797	1	11403
19797	19963	1	11404
19546	19963	1	11405
19963	20096	1	11406
20096	20277	1	11407
19629	20277	1	11408
20277	20389	1	11409
20389	20483	1	11410
20483	20377	1	11411
20377	20418	1	11412
20418	19985	1	11413
19967	19985	1	11414
19985	19968	1	11415
19968	19411	1	11416
19684	19193	1	11417
19909	18924	1	11418
19498	19228	1	11419
19228	18679	1	11420
19370	18640	1	11421
19464	18640	1	11422
18640	18057	1	11423
19721	19388	1	11424
18917	19388	1	11425
19388	18080	1	11426
18627	18080	1	11427
18080	17980	1	11428
18252	17823	1	11429
18947	17756	1	11430
18479	17835	1	11431
18660	18032	1	11432
18788	18032	1	11433
18032	17835	1	11434
17835	17767	1	11435
18464	17777	1	11436
18465	17831	1	11437
18386	17857	1	11438
18375	18016	1	11439
18309	18016	1	11440
18016	17879	1	11441
19416	19230	0	11442
19230	19127	0	11443
19127	19082	0	11444
19082	18939	0	11445
18939	18633	0	11446
18633	18625	0	11447
18625	18502	0	11448
18502	18527	0	11449
18527	18490	0	11450
21137	21064	1	11451
21487	22171	1	11452
22124	22171	1	11453
22171	22177	1	11454
23036	22831	1	11455
22831	22804	1	11456
22804	22760	1	11457
23251	22965	1	11458
23689	23221	1	11459
23979	23511	1	11460
24421	24119	1	11461
23600	24119	1	11462
24119	23778	1	11463
23704	23778	1	11464
23778	23684	1	11465
23264	23684	1	11466
23684	23526	1	11467
23139	23526	1	11468
23526	23511	1	11469
23511	23330	1	11470
23074	23330	1	11471
23330	23221	1	11472
23221	23088	1	11473
22915	22944	1	11474
22397	22944	1	11475
22944	23088	1	11476
23088	22965	1	11477
22965	22760	1	11478
22760	22388	1	11479
22453	22388	1	11480
22388	22177	1	11481
22177	21064	1	11482
21064	20783	1	11483
22059	20968	1	11484
21770	21962	1	11485
22078	21962	1	11486
21962	21626	1	11487
21749	21626	1	11488
21626	20968	1	11489
20968	20783	1	11490
