ITER	INC_DELIVF	TOT_DELIVF	BOOT_ERROR	C_SUM90POP	C_WFCORNSOYA_P	C_WFOTHER_P	C_CONFINED	C_UNCONFINED	C_FOREST	C_BSHRUB
0	9.1761891455888E-01	8.4202447235622E-01	1.0000000000000E+00	1.6509556338936E-01	1.4906944180854E-02	1.6124190472402E-02	1.9203957987539E-01	2.9466389963525E-02	1.1639148888816E+01	2.0827223012922E+02
0	8.8683620956317E-01	8.6827630275522E-01	1.0000000000000E+00	1.6509556338936E-01	2.7879955751896E-02	3.0156530503622E-02	3.5916515984644E-01	5.5109996950704E-02	2.1768308251043E+01	3.8952453902721E+02
0	9.6652853424610E-01	9.3417740751192E-01	1.0000000000000E+00	1.6509556338936E-01	2.1216564821783E-02	2.2949031552414E-02	2.7332363664493E-01	4.1938546568652E-02	1.6565618940675E+01	2.9642703544763E+02
0	9.1039281853687E-01	8.2881508404350E-01	1.0000000000000E+00	1.6509556338936E-01	2.2307159782048E-02	2.4128680490131E-02	2.8737328997713E-01	4.4094313438209E-02	1.7417141356397E+01	3.1166427265644E+02
0	9.2119002732039E-01	8.4859106643455E-01	1.0000000000000E+00	1.6509556338936E-01	3.2979278710851E-02	3.5672245439758E-02	4.2485748597350E-01	6.5189771654060E-02	2.5749793552883E+01	4.6076968168862E+02
0	9.3619019237668E-01	8.7645207630229E-01	1.0000000000000E+00	1.6509556338936E-01	1.7601409254890E-02	1.9038675664531E-02	2.2675118371109E-01	3.4792508962253E-02	1.3742952310358E+01	2.4591792351657E+02
0	9.6401056526170E-01	9.5590246179781E-01	1.0000000000000E+00	1.6509556338936E-01	1.2641044213545E-02	1.3673265439006E-02	1.6284899108117E-01	2.4987410821655E-02	9.8699635503114E+00	1.7661423009141E+02
0	9.3392739179392E-01	8.7222037314299E-01	1.0000000000000E+00	1.6509556338936E-01	2.4021990937449E-02	2.5983538457146E-02	3.0946470258626E-01	4.7484001018280E-02	1.8756059305961E+01	3.3562301998234E+02
0	9.6199151478648E-01	9.2542767452118E-01	1.0000000000000E+00	1.6509556338936E-01	3.0478952719602E-02	3.2967752014622E-02	3.9264689022125E-01	6.0247405210594E-02	2.3797571412004E+01	4.2583640066673E+02
0	9.1758079225750E-01	8.4195451031990E-01	1.0000000000000E+00	1.6509556338936E-01	1.9939431363816E-02	2.1567612068642E-02	2.5687089021097E-01	3.9414051135426E-02	1.5568449682655E+01	2.7858357737626E+02
0	9.1837179232309E-01	8.4340674893473E-01	1.0000000000000E+00	1.6509556338936E-01	1.1106147741212E-02	1.2013034960172E-02	1.4307559754571E-01	2.1953398118669E-02	8.6715362701347E+00	1.5516943849415E+02
0	9.3327490622369E-01	8.7100205058683E-01	1.0000000000000E+00	1.6509556338936E-01	2.8055544613555E-02	3.0346457306586E-02	3.6142719362176E-01	5.5457081491179E-02	2.1905405759377E+01	3.9197777715301E+02
0	9.2960934728680E-01	8.6417353856298E-01	1.0000000000000E+00	1.6509556338936E-01	1.9169535729777E-02	2.0734849585834E-02	2.4695266469708E-01	3.7892207039911E-02	1.4967325146015E+01	2.6782698778132E+02
0	9.2465172424860E-01	8.5498081115592E-01	1.0000000000000E+00	1.6509556338936E-01	1.5112473486316E-02	1.6346502545804E-02	1.9468732316832E-01	2.9872657444653E-02	1.1799623507777E+01	2.1114378088344E+02
0	9.1240640996984E-01	8.3248545695406E-01	1.0000000000000E+00	1.6509556338936E-01	2.6291411725151E-02	2.8438271808193E-02	3.3870064855502E-01	5.1969939726473E-02	2.0527993655415E+01	3.6733021112910E+02
0	9.1917644450519E-01	8.4488533613320E-01	1.0000000000000E+00	1.6509556338936E-01	1.9666611292545E-02	2.1272514512731E-02	2.5335626969367E-01	3.8874770749560E-02	1.5355435305540E+01	2.7477187432175E+02
0	9.1332369896274E-01	8.3416017908698E-01	1.0000000000000E+00	1.6509556338936E-01	2.0884156303151E-02	2.2589479775467E-02	2.6904136447093E-01	4.1281478364843E-02	1.6306078675861E+01	2.9178279296242E+02
0	9.3159237862811E-01	8.6786435991798E-01	1.0000000000000E+00	1.6509556338936E-01	2.5003972364743E-02	2.7045704879852E-02	3.2211513573038E-01	4.9425072731070E-02	1.9522777682288E+01	3.4934276423890E+02
0	9.3200589883161E-01	8.6863499545692E-01	1.0000000000000E+00	1.6509556338936E-01	2.6834019607432E-02	2.9025187056521E-02	3.4569082631956E-01	5.3042506663236E-02	2.0951654860118E+01	3.7491125204246E+02
0	9.7488500182087E-01	9.5040076677528E-01	1.0000000000000E+00	1.6509556338936E-01	3.2383645201946E-02	3.5027974686959E-02	4.1718420247408E-01	6.4012389553758E-02	2.5284730625887E+01	4.5244779373262E+02
0	9.9872976858215E-01	9.9746115065216E-01	1.0000000000000E+00	1.6509556338936E-01	2.3230430559844E-02	2.5127342167412E-02	2.9926737974685E-01	4.5919332466282E-02	1.8138019218224E+01	3.2456374162686E+02
0	9.2142346297559E-01	8.9464365286632E-01	1.0000000000000E+00	1.6509556338936E-01	2.6194877251872E-02	2.8333854684508E-02	3.3745703755957E-01	5.1779121112004E-02	2.0452620789335E+01	3.6598148064550E+02
0	9.7334431214941E-01	9.4739914999361E-01	1.0000000000000E+00	1.6509556338936E-01	2.8107531538790E-02	3.0402689293127E-02	3.6209691822527E-01	5.5559843465289E-02	2.1945996477081E+01	3.9270411198896E+02
0	9.2633704181501E-01	8.5810031503858E-01	1.0000000000000E+00	1.6509556338936E-01	3.1403984710307E-02	3.3968318718987E-02	4.0456366891923E-01	6.2075905608540E-02	2.4519824406052E+01	4.3876047640671E+02
0	9.3927258932188E-01	8.8223299705142E-01	1.0000000000000E+00	1.6509556338936E-01	4.2923824648709E-02	4.6428826461207E-02	5.5296868037984E-01	8.4847044470005E-02	3.3514366184145E+01	5.9970981153497E+02
0	9.3252968389120E-01	8.6961161133823E-01	1.0000000000000E+00	1.6509556338936E-01	2.6522098138622E-02	2.8687795226613E-02	3.4167247976258E-01	5.2425934981849E-02	2.0708110618384E+01	3.7055324418076E+02
0	9.4750961098928E-01	8.9777446291706E-01	1.0000000000000E+00	1.6509556338936E-01	4.4425820573316E-02	4.8053469854468E-02	5.7231823068583E-01	8.7816023027994E-02	3.4687105142901E+01	6.2069493343975E+02
0	9.3032290377305E-01	8.6550070528472E-01	1.0000000000000E+00	1.6509556338936E-01	3.6508546333986E-02	3.9489700089961E-02	4.7032348245085E-01	7.2166035521910E-02	2.8505399989440E+01	5.1007881102294E+02
0	9.3890361715491E-01	8.8154000230656E-01	1.0000000000000E+00	1.6509556338936E-01	3.3269411440946E-02	3.5986069342603E-02	4.2859513783023E-01	6.5763273779140E-02	2.5976325429714E+01	4.6482326839273E+02
0	9.3063178710274E-01	8.6607552316604E-01	1.0000000000000E+00	1.6509556338936E-01	3.0943456179092E-02	3.3470185119961E-02	3.9863088319318E-01	6.1165584007717E-02	2.4160249695278E+01	4.3232620637319E+02
0	9.1644822342758E-01	8.3987734622357E-01	1.0000000000000E+00	1.6509556338936E-01	3.3459180382208E-02	3.6191334118370E-02	4.3103984730999E-01	6.6138387924490E-02	2.6124494560491E+01	4.6747462336705E+02
0	9.0819876264210E-01	8.2482499246464E-01	1.0000000000000E+00	1.6509556338936E-01	2.6369735056813E-02	2.8522990735346E-02	3.3970965345396E-01	5.2124760580833E-02	2.0589147498054E+01	3.6842450481923E+02
0	9.0962341165101E-01	8.2741475102363E-01	1.0000000000000E+00	1.6509556338936E-01	3.1258961734856E-02	3.3811453700195E-02	4.0269540195987E-01	6.1789240313730E-02	2.4406592345671E+01	4.3673428927198E+02
0	8.7640433109582E-01	7.6808455156351E-01	1.0000000000000E+00	1.6509556338936E-01	2.7198748789074E-02	2.9419698683069E-02	3.5038947132428E-01	5.3763462760406E-02	2.1236430679879E+01	3.8000706236632E+02
0	8.8015874646639E-01	7.7467941898128E-01	1.0000000000000E+00	1.6509556338936E-01	2.5781579281490E-02	2.7886808320380E-02	3.3213270229456E-01	5.0962159632933E-02	2.0129923088562E+01	3.6020709194751E+02
0	8.8660198045206E-01	7.8606307174152E-01	1.0000000000000E+00	1.6509556338936E-01	2.5377460772236E-02	2.7449690978450E-02	3.2692662197418E-01	5.0163343092085E-02	1.9814392592112E+01	3.5456095400416E+02
0	9.0144579221435E-01	8.1260451630096E-01	1.0000000000000E+00	1.6509556338936E-01	2.2106588856156E-02	2.3911731679357E-02	2.8478942329888E-01	4.3697847130563E-02	1.7260538175967E+01	3.0886199785566E+02
0	9.6759122130903E-01	9.3623277155431E-01	1.0000000000000E+00	1.6509556338936E-01	2.2183793532240E-02	2.3995240605630E-02	2.8578401705195E-01	4.3850456750946E-02	1.7320818586825E+01	3.0994066225994E+02
